0,1
generations,200
cross_over_prob,0.95
mutation_prob,0.4
population_size,30
chromosome_bits,23
elitism,True

G,1-Máx,2-Mín,3-Promedio,4-Total,5-Rango,6-Cromosoma,7-Estable
58,6.724045185583647e-05,3.771450122572129e-05,5.59932787683984e-05,0.001679798363051952,2.9525950630115173e-05,"[22, 21, 18, 7, 3, 12, 13, 16, 11, 0, 10, 14, 17, 15, 4, 2, 1, 9, 8, 5, 6, 19, 20]",52
59,6.782880010852608e-05,3.980099502487562e-05,5.4320094607560604e-05,0.0016296028382268182,2.8027805083650456e-05,"[22, 21, 18, 15, 3, 12, 13, 16, 11, 0, 10, 14, 17, 7, 4, 2, 1, 9, 8, 5, 6, 19, 20]",59
60,6.975933031042901e-05,3.159657493127745e-05,5.4042302381393154e-05,0.0016212690714417946,3.816275537915156e-05,"[22, 21, 18, 17, 3, 12, 13, 16, 11, 0, 10, 14, 7, 15, 4, 2, 1, 9, 8, 5, 6, 19, 20]",60
61,6.975933031042901e-05,3.508033396477934e-05,5.482225627099305e-05,0.0016446676881297915,3.467899634564967e-05,"[22, 21, 18, 17, 3, 12, 13, 16, 11, 0, 10, 14, 7, 15, 4, 2, 1, 9, 8, 5, 6, 19, 20]",60
62,6.975933031042901e-05,4.258399693395222e-05,5.870116752913615e-05,0.0017610350258740845,2.717533337647679e-05,"[22, 21, 18, 17, 3, 12, 13, 16, 11, 0, 10, 14, 7, 15, 4, 2, 1, 9, 8, 5, 6, 19, 20]",60
63,6.975933031042901e-05,3.73943609303717e-05,5.519956500116424e-05,0.0016559869500349272,3.2364969380057315e-05,"[22, 21, 18, 17, 3, 12, 13, 16, 11, 0, 10, 14, 7, 15, 4, 2, 1, 9, 8, 5, 6, 19, 20]",60
64,6.975933031042901e-05,3.6262102476701596e-05,5.602164971463964e-05,0.001680649491439189,3.349722783372742e-05,"[22, 21, 18, 17, 3, 12, 13, 16, 11, 0, 10, 14, 7, 15, 4, 2, 1, 9, 8, 5, 6, 19, 20]",60
65,6.975933031042901e-05,3.094633904809061e-05,5.627121062751678e-05,0.0016881363188255033,3.88129912623384e-05,"[22, 21, 18, 17, 3, 12, 13, 16, 11, 0, 10, 14, 7, 15, 4, 2, 1, 9, 8, 5, 6, 19, 20]",60
66,6.975933031042901e-05,3.0993336432666976e-05,5.4094188193194136e-05,0.001622825645795824,3.876599387776204e-05,"[22, 21, 18, 17, 3, 12, 13, 16, 11, 0, 10, 14, 7, 15, 4, 2, 1, 9, 8, 5, 6, 19, 20]",60
67,6.975933031042901e-05,3.646042221168921e-05,5.640099868468788e-05,0.0016920299605406365,3.3298908098739806e-05,"[22, 21, 18, 17, 3, 12, 13, 16, 11, 0, 10, 14, 7, 15, 4, 2, 1, 9, 8, 5, 6, 19, 20]",60
68,6.975933031042901e-05,3.484684810258912e-05,5.8658038357872156e-05,0.0017597411507361646,3.4912482207839895e-05,"[22, 21, 18, 17, 3, 12, 13, 16, 11, 0, 10, 14, 7, 15, 4, 2, 1, 9, 8, 5, 6, 19, 20]",60
69,6.975933031042901e-05,4.7404598246029865e-05,6.269421634519658e-05,0.0018808264903558973,2.2354732064399148e-05,"[22, 21, 18, 17, 3, 12, 13, 16, 11, 0, 10, 14, 7, 15, 4, 2, 1, 9, 8, 5, 6, 19, 20]",60
70,6.975933031042901e-05,4.68384074941452e-05,6.206402741940425e-05,0.0018619208225821276,2.2920922816283814e-05,"[22, 21, 18, 17, 3, 12, 13, 16, 11, 0, 10, 14, 7, 15, 4, 2, 1, 9, 8, 5, 6, 19, 20]",60
71,6.975933031042901e-05,4.3434826043521695e-05,6.11352400111372e-05,0.001834057200334116,2.6324504266907318e-05,"[22, 21, 18, 17, 3, 12, 13, 16, 11, 0, 10, 14, 7, 15, 4, 2, 1, 9, 8, 5, 6, 19, 20]",60
72,6.975933031042901e-05,3.613500036135e-05,5.7263215066755404e-05,0.001717896452002662,3.362432994907901e-05,"[22, 21, 18, 17, 3, 12, 13, 16, 11, 0, 10, 14, 7, 15, 4, 2, 1, 9, 8, 5, 6, 19, 20]",60
73,6.975933031042901e-05,3.187860626733399e-05,5.307659581032407e-05,0.0015922978743097222,3.788072404309502e-05,"[22, 21, 18, 17, 3, 12, 13, 16, 11, 0, 10, 14, 7, 15, 4, 2, 1, 9, 8, 5, 6, 19, 20]",60
74,6.975933031042901e-05,3.7962189659099535e-05,5.618929143441618e-05,0.0016856787430324853,3.179714065132948e-05,"[22, 21, 18, 17, 3, 12, 13, 16, 11, 0, 10, 14, 7, 15, 4, 2, 1, 9, 8, 5, 6, 19, 20]",60
75,6.975933031042901e-05,3.909762677405481e-05,5.614021747040672e-05,0.0016842065241122017,3.06617035363742e-05,"[22, 21, 18, 17, 3, 12, 13, 16, 11, 0, 10, 14, 7, 15, 4, 2, 1, 9, 8, 5, 6, 19, 20]",60
76,6.994963626189144e-05,3.598934715324264e-05,5.630171414551644e-05,0.0016890514243654933,3.3960289108648805e-05,"[22, 21, 18, 17, 3, 12, 13, 7, 11, 0, 10, 14, 16, 15, 4, 2, 1, 9, 8, 5, 6, 19, 20]",76
77,6.994963626189144e-05,3.909762677405481e-05,5.811699729672483e-05,0.001743509918901745,3.085200948783663e-05,"[22, 21, 18, 17, 3, 12, 13, 7, 11, 0, 10, 14, 16, 15, 4, 2, 1, 9, 8, 5, 6, 19, 20]",76
78,6.994963626189144e-05,3.65123411713159e-05,5.9848238714218863e-05,0.0017954471614265658,3.343729509057554e-05,"[22, 21, 18, 17, 3, 12, 13, 7, 11, 0, 10, 14, 16, 15, 4, 2, 1, 9, 8, 5, 6, 19, 20]",76
79,7.028394714647174e-05,3.8328861632809504e-05,6.247115564743448e-05,0.0018741346694230343,3.195508551366224e-05,"[22, 21, 18, 17, 3, 12, 13, 7, 11, 0, 10, 14, 16, 15, 4, 2, 1, 5, 8, 9, 6, 19, 20]",79
80,7.028394714647174e-05,3.7907505686125855e-05,5.982445938800441e-05,0.0017947337816401324,3.237644146034589e-05,"[22, 21, 18, 17, 3, 12, 13, 7, 11, 0, 10, 14, 16, 15, 4, 2, 1, 5, 8, 9, 6, 19, 20]",79
81,6.994963626189144e-05,3.3850111705368625e-05,5.829747736864505e-05,0.0017489243210593514,3.609952455652282e-05,"[22, 21, 18, 17, 3, 12, 13, 7, 11, 0, 10, 14, 16, 15, 4, 2, 1, 9, 8, 5, 6, 19, 20]",81
82,6.994963626189144e-05,4.1025641025641023e-05,5.661094546711212e-05,0.0016983283640133635,2.892399523625042e-05,"[22, 21, 18, 17, 3, 12, 13, 7, 11, 0, 10, 14, 16, 15, 4, 2, 1, 9, 8, 5, 6, 19, 20]",81
83,7.224389539083947e-05,3.685684800235884e-05,5.7072138508939505e-05,0.0017121641552681852,3.538704738848063e-05,"[22, 21, 18, 17, 3, 12, 10, 7, 11, 0, 16, 14, 13, 15, 4, 2, 1, 5, 8, 9, 6, 19, 20]",83
84,7.224389539083947e-05,3.3142213236999966e-05,5.7198811331320565e-05,0.001715964339939617,3.91016821538395e-05,"[22, 21, 18, 17, 3, 12, 10, 7, 11, 0, 16, 14, 13, 15, 4, 2, 1, 5, 8, 9, 6, 19, 20]",83
85,7.224389539083947e-05,4.132060658650469e-05,5.75246961505174e-05,0.001725740884515522,3.092328880433478e-05,"[22, 21, 18, 17, 3, 12, 10, 7, 11, 0, 16, 14, 13, 15, 4, 2, 1, 5, 8, 9, 6, 19, 20]",83
86,7.224389539083947e-05,3.8147554741741054e-05,5.8603511662571945e-05,0.0017581053498771583,3.4096340649098414e-05,"[22, 21, 18, 17, 3, 12, 10, 7, 11, 0, 16, 14, 13, 15, 4, 2, 1, 5, 8, 9, 6, 19, 20]",83
87,7.224389539083947e-05,3.8398034020658145e-05,5.91147369515798e-05,0.001773442108547394,3.3845861370181324e-05,"[22, 21, 18, 17, 3, 12, 10, 7, 11, 0, 16, 14, 13, 15, 4, 2, 1, 5, 8, 9, 6, 19, 20]",83
88,7.224389539083947e-05,3.200819409768901e-05,5.5784826533351954e-05,0.0016735447960005586,4.023570129315046e-05,"[22, 21, 18, 17, 3, 12, 10, 7, 11, 0, 16, 14, 13, 15, 4, 2, 1, 5, 8, 9, 6, 19, 20]",83
89,7.224389539083947e-05,3.200819409768901e-05,5.4842580292549114e-05,0.0016452774087764735,4.023570129315046e-05,"[22, 21, 18, 17, 3, 12, 10, 7, 11, 0, 16, 14, 13, 15, 4, 2, 1, 5, 8, 9, 6, 19, 20]",83
90,7.224389539083947e-05,4.161291664932795e-05,5.932554014533792e-05,0.0017797662043601377,3.063097874151152e-05,"[22, 21, 18, 17, 3, 12, 10, 7, 11, 0, 16, 14, 13, 15, 4, 2, 1, 5, 8, 9, 6, 19, 20]",83
91,7.224389539083947e-05,4.036978725122119e-05,5.724032958551128e-05,0.0017172098875653384,3.187410813961828e-05,"[22, 21, 18, 17, 3, 12, 10, 7, 11, 0, 16, 14, 13, 15, 4, 2, 1, 5, 8, 9, 6, 19, 20]",83
92,7.224389539083947e-05,3.279118572927597e-05,5.730047770968165e-05,0.0017190143312904495,3.9452709661563497e-05,"[22, 21, 18, 17, 3, 12, 10, 7, 11, 0, 16, 14, 13, 15, 4, 2, 1, 5, 8, 9, 6, 19, 20]",83
