0,1
generations,200
cross_over_prob,0.95
mutation_prob,0.9
population_size,30
chromosome_bits,23
elitism,True

G,1-Máx,2-Mín,3-Promedio,4-Total,5-Rango,6-Cromosoma,7-Estable
56,6.148927012236365e-05,3.256056264652253e-05,4.547456541367852e-05,0.0013642369624103556,2.892870747584112e-05,"[18, 13, 16, 0, 6, 9, 5, 8, 3, 2, 1, 4, 7, 20, 22, 21, 19, 12, 15, 14, 17, 11, 10]",43
57,6.148927012236365e-05,3.204614645088928e-05,4.324064872405794e-05,0.0012972194617217382,2.944312367147437e-05,"[18, 13, 16, 0, 6, 9, 5, 8, 3, 2, 1, 4, 7, 20, 22, 21, 19, 12, 15, 14, 17, 11, 10]",43
58,6.148927012236365e-05,2.9821369993737513e-05,4.3671681320974725e-05,0.0013101504396292418,3.166790012862614e-05,"[18, 13, 16, 0, 6, 9, 5, 8, 3, 2, 1, 4, 7, 20, 22, 21, 19, 12, 15, 14, 17, 11, 10]",43
59,6.148927012236365e-05,3.155470007257581e-05,4.388479386880671e-05,0.0013165438160642013,2.9934570049787845e-05,"[18, 13, 16, 0, 6, 9, 5, 8, 3, 2, 1, 4, 7, 20, 22, 21, 19, 12, 15, 14, 17, 11, 10]",43
60,6.148927012236365e-05,3.130184367859267e-05,4.288805681459846e-05,0.001286641704437954,3.0187426443770982e-05,"[18, 13, 16, 0, 6, 9, 5, 8, 3, 2, 1, 4, 7, 20, 22, 21, 19, 12, 15, 14, 17, 11, 10]",43
61,6.148927012236365e-05,3.1577617784514334e-05,4.414390545096803e-05,0.0013243171635290408,2.991165233784932e-05,"[18, 13, 16, 0, 6, 9, 5, 8, 3, 2, 1, 4, 7, 20, 22, 21, 19, 12, 15, 14, 17, 11, 10]",43
62,6.148927012236365e-05,3.192848020434228e-05,4.393135227502455e-05,0.0013179405682507365,2.9560789918021376e-05,"[18, 13, 16, 0, 6, 9, 5, 8, 3, 2, 1, 4, 7, 20, 22, 21, 19, 12, 15, 14, 17, 11, 10]",43
63,6.148927012236365e-05,2.989357885926103e-05,4.311305050314731e-05,0.0012933915150944192,3.1595691263102625e-05,"[18, 13, 16, 0, 6, 9, 5, 8, 3, 2, 1, 4, 7, 20, 22, 21, 19, 12, 15, 14, 17, 11, 10]",43
64,6.148927012236365e-05,2.989357885926103e-05,4.17844476460475e-05,0.001253533429381425,3.1595691263102625e-05,"[18, 13, 16, 0, 6, 9, 5, 8, 3, 2, 1, 4, 7, 20, 22, 21, 19, 12, 15, 14, 17, 11, 10]",43
65,6.310740880979428e-05,2.9399658963956018e-05,4.1749567994449464e-05,0.001252487039833484,3.370774984583826e-05,"[18, 13, 16, 7, 6, 9, 5, 8, 3, 2, 1, 4, 0, 20, 22, 21, 19, 12, 15, 14, 17, 11, 10]",65
