0,1
generations,20
cross_over_prob,0.76
mutation_prob,0.2
population_size,15
chromosome_bits,23
elitism,True

G,1-Máx,2-Mín,3-Promedio,4-Total,5-Rango,6-Cromosoma,7-Estable
19,5.8180125669071444e-05,5.286529921759357e-05,5.1483065570438674e-05,0.0007722459835565801,5.314826451477875e-06,"[11, 21, 3, 5, 12, 8, 1, 17, 20, 15, 7, 19, 18, 10, 4, 16, 2, 13, 22, 6, 14, 0, 9]",17

G,1-Máx,2-Mín,3-Promedio,4-Total,5-Rango,6-Cromosoma,7-Estable
0,3.769317753486619e-05,2.966478789676654e-05,3.3433732624373165e-05,0.0005015059893655974,8.02838963809965e-06,"[20, 9, 12, 2, 1, 22, 18, 19, 0, 5, 10, 13, 11, 15, 21, 6, 8, 7, 16, 14, 17, 4, 3]",0
1,3.769317753486619e-05,2.9591927322226496e-05,3.0828702705162136e-05,0.000462430540577432,8.101250212639693e-06,"[20, 9, 12, 2, 1, 22, 18, 19, 0, 5, 10, 13, 11, 15, 21, 6, 8, 7, 16, 14, 17, 4, 3]",0
2,4.1930479265378e-05,2.9591927322226496e-05,3.299130679510036e-05,0.0004948696019265054,1.2338551943151505e-05,"[12, 17, 16, 2, 1, 15, 18, 6, 0, 5, 10, 9, 11, 4, 21, 22, 19, 20, 7, 8, 14, 13, 3]",2
3,4.290924694271615e-05,3.015772490123345e-05,3.346164637478192e-05,0.0005019246956217288,1.2751522041482702e-05,"[21, 20, 3, 2, 1, 22, 18, 16, 0, 19, 8, 13, 11, 15, 12, 6, 9, 10, 7, 14, 17, 5, 4]",3
4,4.479283314669653e-05,3.165057762304162e-05,3.4543487514889106e-05,0.0005181523127233366,1.3142255523654912e-05,"[20, 17, 12, 2, 1, 15, 18, 6, 9, 5, 10, 0, 11, 4, 21, 22, 19, 7, 16, 8, 14, 13, 3]",4
5,4.479283314669653e-05,3.006433768264085e-05,3.5044244789455835e-05,0.0005256636718418375,1.472849546405568e-05,"[20, 17, 12, 2, 1, 15, 18, 6, 9, 5, 10, 0, 11, 4, 21, 22, 19, 7, 16, 8, 14, 13, 3]",4
6,4.479283314669653e-05,3.279441183222379e-05,3.712318493838621e-05,0.0005568477740757931,1.199842131447274e-05,"[20, 17, 12, 2, 1, 15, 18, 6, 9, 5, 10, 0, 11, 4, 21, 22, 19, 7, 16, 8, 14, 13, 3]",4
7,4.479283314669653e-05,3.279441183222379e-05,3.671348639909004e-05,0.0005507022959863506,1.199842131447274e-05,"[20, 17, 12, 2, 1, 15, 18, 6, 9, 5, 10, 0, 11, 4, 21, 22, 19, 7, 16, 8, 14, 13, 3]",4
8,4.479283314669653e-05,3.3214866974457765e-05,3.724067003976974e-05,0.000558610050596546,1.1577966172238766e-05,"[20, 17, 12, 2, 1, 15, 18, 6, 9, 5, 10, 0, 11, 4, 21, 22, 19, 7, 16, 8, 14, 13, 3]",4
9,4.479283314669653e-05,3.404023555843007e-05,3.7609023432433564e-05,0.0005641353514865034,1.0752597588266463e-05,"[20, 17, 12, 2, 1, 15, 18, 6, 9, 5, 10, 0, 11, 4, 21, 22, 19, 7, 16, 8, 14, 13, 3]",4
10,4.479283314669653e-05,3.515556336790297e-05,3.883841266416883e-05,0.0005825761899625325,9.63726977879356e-06,"[20, 17, 12, 2, 1, 15, 18, 6, 9, 5, 10, 0, 11, 4, 21, 22, 19, 7, 16, 8, 14, 13, 3]",4
11,4.488330341113106e-05,3.515556336790297e-05,3.8242894287899136e-05,0.000573643414318487,9.72774004322809e-06,"[20, 17, 12, 15, 1, 2, 18, 6, 9, 5, 10, 0, 11, 4, 21, 22, 19, 7, 16, 8, 14, 13, 3]",11
12,4.52447742285766e-05,3.593244699964068e-05,3.9704438375648524e-05,0.0005955665756347279,9.312327228935919e-06,"[20, 17, 4, 2, 1, 15, 18, 6, 9, 5, 10, 0, 11, 12, 21, 22, 19, 7, 16, 8, 14, 13, 3]",12
13,4.52447742285766e-05,3.593244699964068e-05,4.0351122287511227e-05,0.0006052668343126684,9.312327228935919e-06,"[20, 17, 4, 2, 1, 15, 18, 6, 9, 5, 10, 0, 11, 12, 21, 22, 19, 7, 16, 8, 14, 13, 3]",12
14,4.52447742285766e-05,3.593244699964068e-05,4.143034706190539e-05,0.0006214552059285808,9.312327228935919e-06,"[20, 17, 4, 2, 1, 15, 18, 6, 9, 5, 10, 0, 11, 12, 21, 22, 19, 7, 16, 8, 14, 13, 3]",12
15,4.644681839294008e-05,3.593244699964068e-05,4.124902856417207e-05,0.000618735428462581,1.0514371393299403e-05,"[20, 17, 12, 2, 1, 16, 18, 6, 9, 5, 10, 0, 11, 4, 21, 22, 19, 7, 15, 8, 14, 13, 3]",15
16,4.644681839294008e-05,3.593244699964068e-05,4.151720204238908e-05,0.0006227580306358363,1.0514371393299403e-05,"[20, 17, 12, 2, 1, 16, 18, 6, 9, 5, 10, 0, 11, 4, 21, 22, 19, 7, 15, 8, 14, 13, 3]",15
17,4.722550177095632e-05,3.593244699964068e-05,4.09026606916181e-05,0.0006135399103742716,1.1293054771315638e-05,"[20, 17, 12, 2, 1, 16, 18, 6, 9, 5, 10, 0, 11, 15, 21, 22, 19, 7, 4, 8, 14, 13, 3]",17
18,4.722550177095632e-05,3.889385865971763e-05,4.139982207838605e-05,0.0006209973311757908,8.331643111238686e-06,"[20, 17, 12, 2, 1, 16, 18, 6, 9, 5, 10, 0, 11, 15, 21, 22, 19, 7, 4, 8, 14, 13, 3]",17
19,4.722550177095632e-05,4.060419035244437e-05,4.25622590739071e-05,0.0006384338861086065,6.621311418511946e-06,"[20, 17, 12, 2, 1, 16, 18, 6, 9, 5, 10, 0, 11, 15, 21, 22, 19, 7, 4, 8, 14, 13, 3]",17

G,1-Máx,2-Mín,3-Promedio,4-Total,5-Rango,6-Cromosoma,7-Estable
0,3.904419803217242e-05,2.7501993894557357e-05,3.4096774369173195e-05,0.0005114516155375979,1.1542204137615065e-05,"[11, 2, 15, 12, 4, 0, 8, 6, 18, 7, 17, 16, 22, 10, 5, 14, 13, 1, 3, 9, 20, 19, 21]",0
1,3.904419803217242e-05,2.7501993894557357e-05,3.255466367256532e-05,0.0004883199550884798,1.1542204137615065e-05,"[11, 2, 15, 12, 4, 0, 8, 6, 18, 7, 17, 16, 22, 10, 5, 14, 13, 1, 3, 9, 20, 19, 21]",0
